Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
1140 Potrero Av,San Francisco,CA,94110;True;San Francisco;19.01.2012;Jan;2012;one story additon and horizontal addition, change of occupancy from r-3 to r-2 new car lift and associated basement level;1 family dwelling;21.05.2007;4.11.2008;Nov;2008;Mission;20.10.2011;200705211784;additions alterations or repairs;wood_frame_5;apartments;1094032398575;CA;94110;220000;430000;533;1171;4;1080;37,753874;-122,406696122;1;650000
1330 11th Av,San Francisco,CA,94122;True;San Francisco;17.07.2019;Jul;2019;rear yard add to (e)2 unit res. addition & renovation to add 1 bedroom and half bath on ground level, addition of (1)bedrm & (1)bath to each (e) d.u. seismic upgrade & (n)interior renovation @ all levels as req'd. outdoor decks/stairs add to rear of bldg. result:2 units over a garage;2 family dwelling;28.01.2016;6.07.2017;Jul;2017;Inner Sunset;20.06.2020;201601288264;additions alterations or repairs;wood_frame_5;apartments;1410682496233;CA;94122;215400;341344;525;741;2;1080;37,7633529;-122,4682425;1;556744
1332 11th Av,San Francisco,CA,94122;True;San Francisco;17.07.2019;Jul;2019;rear yard add to (e)2 unit res. addition & renovation to add 1 bedroom and half bath on ground level, addition of (1)bedrm & (1)bath to each (e) d.u. seismic upgrade & (n)interior renovation @ all levels as req'd. outdoor decks/stairs add to rear of bldg. result:2 units over a garage;2 family dwelling;28.01.2016;6.07.2017;Jul;2017;Inner Sunset;20.06.2020;201601288264;additions alterations or repairs;wood_frame_5;apartments;1410683496234;CA;94122;215400;341344;525;741;2;1080;37,7633265;-122,4682427;1;556744
2000 20th St,San Francisco,CA,94107;True;San Francisco;11.09.2014;Sep;2014;proposed alteration and vertical addition.;1 family dwelling;1.12.2010;9.04.2013;Apr;2013;Potrero Hill;24.03.2016;201012015856;additions alterations or repairs;wood_frame_5;2 family dwelling;1224672169649;CA;94107;205000;371000;860;520;1;1080;37,759807;-122,401275;1;576000
1354 24th Av,San Francisco,CA,94122;True;San Francisco;18.09.2015;Sep;2015;proposed horizontal & vertical addition  for two family residence. 3 story structures w/1st floor 2 car garage,;1 family dwelling;21.02.2012;23.07.2014;Jul;2014;Sunset/Parkside;7.07.2017;201202214563;additions alterations or repairs;wood_frame_5;2 family dwelling;1262938113777;CA;94122;202000;389105;883;422;1;1080;37,7623087;-122,482175623;1;591105
758 Spruce St,San Francisco,CA,94118;True;San Francisco;15.10.2014;Oct;2014;3rd + 4th floor addition. interior remodel. convert single family home into two unit building. fire sprinker under separate permit.;1 family dwelling;24.07.2012;13.05.2013;May;2013;Lone Mountain/USF;27.04.2016;201207245587;additions alterations or repairs;wood_frame_5;2 family dwelling;127718689316;CA;94118;200000;360000;293;520;1;1080;37,7809453;-122,452770414;1;560000
1880 Golden Gate Av,San Francisco,CA,94115;True;San Francisco;3.07.2018;Jul;2018;horizontal & vertical addition.  4 stories over basement. convert single family dwelling to 3 family dwelling.;1 family dwelling;4.10.2012;23.12.2014;Dec;2014;Western Addition;7.12.2017;201210041365;additions alterations or repairs;wood_frame_5;apartments;128476290692;CA;94115;200000;520000;810;1288;4;1080;37,77853475;-122,441532855;1;720000
1823 Turk St,San Francisco,CA,94115;True;San Francisco;12.09.2016;Sep;2016;"comply to nov #200678207.  change of use. remodel (e) building & replacement of church use with residential use.  add (n) garage under building. remove most of 1-story rear addition. reconfigure entry & stair. add deck on east side. move (e) rear closet wall 3'-1 1/2"" south.";church;11.10.2013;8.12.2014;Dec;2014;Western Addition;22.11.2017;201310119174;additions alterations or repairs;wood_frame_5;2 family dwelling;132066690729;CA;94115;200000;350000;423;644;2;1080;37,77926155;-122,439456046;1;550000
459 Geary St,San Francisco,CA,94102;True;San Francisco;15.07.2015;Jul;2015;tenant improvement for art gallerty and office and retail on the gr floor and basement level of existing 7 story building. core and shell upgrades already underway 201206082224. no exterior work.;retail sales;20.12.2013;16.06.2014;Jun;2014;Tenderloin;31.05.2017;201312204743;additions alterations or repairs;constr_type_3;workshop commercial;132779869388;CA;94102;200000;351005,2;178;394;1;1080;37,78681905;-122,410860520;1;551005,2
250 Howard St,San Francisco,CA,94105;True;San Francisco;19.12.2018;Dec;2018;temporary shoring for subsurface construction ref pa 2015-0427-4732s. maher na;vacant lot;12.11.2015;25.11.2015;Nov;2015;Financial District/South Beach;4.11.2019;201511122414;otc alterations permit;constr_type_1;office;1403051502910;CA;94105;200000;7800000;13;1120;3;1440;37,790357146;-122,393877741;1;8000000
