Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
125 3rd St,San Francisco,CA,94105;True;San Francisco;1.08.2007;Aug;2007;site work at street level outside of bldg property lines-horizontal & vertical addition;prkng garage/public;30.08.2000;21.11.2000;Nov;2000;Financial District/South Beach;21.11.2006;200008309233;additions alterations or repairs;constr_type_1;tourist hotel/motel;828680164745;CA;94105;92000000;17000000;83;2444;7;2191;37,7860568;-122,4013648;1;109000000
100 Van Ness Av,San Francisco,CA,94102;True;San Francisco;29.09.2016;Sep;2016;convert (e) office building int 399 residential apartments ground floor retail and roof deck. maintain (e) steel frame structure and garage. remove pre-cast concrete skin and replace with glass curtain wall. renovate interior of building.;office;2.08.2012;31.12.2012;Dec;2012;Tenderloin;30.11.2018;201208026344;additions alterations or repairs;constr_type_1;apartments;127820982089;CA;94102;75000000;0;151;1368;4;2160;37,77664285;-122,419182661;1;75000000
2155 Webster St,San Francisco,CA,94115;True;San Francisco;22.02.2017;Feb;2017;renovate (e) office bldg (main bldg) into 66-dwelling units. no cfc until proof of lot merger record.  additionally proj construct 11 townhouses in 4 bldgs on (e) surface parking lot total of 77 dwelling units. proj retain (e) surface parking lot & provide common open space.;school;22.11.2013;2.12.2014;Dec;2014;Pacific Heights;31.10.2020;201311222660;additions alterations or repairs;constr_type_3;apartments;132513776893;CA;94115;62000000;0;375;813;3;2160;37,790501245;-122,432582531;1;62000000
72 Townsend St,San Francisco,CA,94107;True;San Francisco;8.12.2016;Dec;2016;7 story addition to existing 2 story commercial warehouse, highrise building. addition of retail, parking & 74 residential units.;retail sales;1.05.2007;6.12.2012;Dec;2012;Financial District/South Beach;5.11.2018;200705010136;additions alterations or repairs;constr_type_1;apartments;1091852291099;CA;94107;35000000;-3700000;2046;1463;4;2160;37,7814417;-122,390395781;1;31300000
1800 Owens St,San Francisco,CA,94158;True;San Francisco;19.09.2019;Sep;2019;alteration to #2014-0904-5458s currently under construction. permit to make ready for laboratory tenants to be processed as future ti. this is a non-site permit therefore included in this permit are complete plans fo arch,struct & mep. all will be reviewed under the 2013 code.;vacant lot;17.08.2017;9.05.2018;May;2018;Potrero Hill;18.04.2022;201708175140;additions alterations or repairs;constr_type_1;office;1475016508133;CA;94158;30000000;0;265;498;1;1440;37,7679934;-122,3942761;1;30000000
1 Newhall St,San Francisco,CA,94124;True;San Francisco;30.03.2018;Mar;2018;"interior expansion, exterior renovation of (e) 2 story warehouse (circa 1986). new 2nd floor, new roof, renovated & upgraded building & site.change of use from city storage facility to sf office of chief med exam.** maher: compliance with ordinance no# 155-13 required; route to dph **";warehouse,no frnitur;26.06.2014;6.08.2015;Aug;2015;Bayview Hunters Point;5.07.2021;201406269545;additions alterations or repairs;constr_type_2;office;1346741173697;CA;94124;28000000;0;406;967;3;2160;37,7344101;-122,39334;1;28000000
500 California St,San Francisco,CA,94104;True;San Francisco;13.11.2002;Nov;2002;seismic upgrade,new partitions,mech,elec,life safety,new rms;tourist hotel/motel;30.03.2000;17.04.2000;Apr;2000;Financial District/South Beach;17.04.2006;;additions alterations or repairs;constr_type_1;public assmbly other;66359263404;CA;94104;28000000;0;18;940;2;2191;37,7930209;-122,4030391;1;28000000
505 Brannan St,San Francisco,CA,94107;True;San Francisco;25.10.2018;Oct;2018;full tenant build out of 6 story office mid-rise improvements include full service kitchen, communicating stairs, general office space & conference facilities. architectural finishes & mep.;office;16.11.2016;7.06.2017;Jun;2017;South of Market;17.05.2021;201611162927;additions alterations or repairs;constr_type_1;food/beverage hndlng;1444664505591;CA;94107;26000000;0;203;505;1;1440;37,7776259;-122,396757675;1;26000000
690 Market St,San Francisco,CA,94104;True;San Francisco;27.06.2008;Jun;2008;conversion of existing office bldg to residential,new seismic, fire protection,stairs,int partition;office;5.08.2003;19.07.2005;Jul;2005;Financial District/South Beach;19.07.2011;200308051235;additions alterations or repairs;constr_type_1;apartments;952114373716;CA;94104;25000000;40000000;714;1074;3;2191;37,7882426;-122,403204819;1;65000000
900 North Point St,San Francisco,CA,94109;True;San Francisco;24.03.2009;Mar;2009;rehabilitation of 5 buildings from b office to r-1 hotel - building are part of ghirardelli square & are qualified historic buildings. alterations are primarily interior in nature with limited exterior work.;office;4.10.2006;14.09.2007;Sep;2007;Russian Hill;14.09.2011;200610044165;additions alterations or repairs;constr_type_1;tourist hotel/motel;106976970872;CA;94109;24000000;0;345;557;2;1461;37,8057145;-122,4219022;1;24000000
800 Minnesota St,San Francisco,CA,94107;True;San Francisco;25.02.2010;Feb;2010;adaptive re-use of existing building & construction of buildings & below - grade garages for 142 residential condominiums, 168 parking spaces, 6,300 s.f. of office space & 2,100 s.f. of cafe space. this is for north court site permit only 67 units residential, site plan was approved by debella sffd;office;2.12.2005;17.03.2008;Mar;2008;Potrero Hill;9.05.2013;200512029382;additions alterations or repairs;constr_type_2;apartments;1092791455978;CA;94107;23307000;0;836;710;2;1879;37,760218;-122,390539;1;23307000
736 Mission St,San Francisco,CA,94103;True;San Francisco;11.09.2008;Sep;2008;(formerly known as 222 jessie) site pa remodel and seismic upgrade of (e) bldg to a house museum new partitions, electrical/mech-office;sewage plant;10.04.2000;3.02.2006;Feb;2006;Financial District/South Beach;3.02.2012;200004106857;additions alterations or repairs;constr_type_1;museum;1043516449525;CA;94103;22000000;0;2125;951;2;2191;37,7860364;-122,403670613;1;22000000
875 Stevenson St,San Francisco,CA,94103;True;San Francisco;16.05.2014;May;2014;interior demo (e) tenant build outs, base building core-shell upgrades & new finishes. exterior envelope renovation of floors 3-10 including. removal of (e) precast concrete panels and replaced with a new glass curtain wall skin.;office;5.09.2012;17.05.2013;May;2013;South of Market;26.04.2017;201209058914;additions alterations or repairs;constr_type_1;retail sales;1281537156294;CA;94103;17000000;0;254;364;1;1440;37,7785413;-122,4137828;1;17000000
717 Battery St,San Francisco,CA,94111;True;San Francisco;21.05.2014;May;2014;excavation of the raza to enlarge basement level. addition of a partial 4th floor & complete renovation of the building into a membership club.;office;21.12.2010;16.08.2011;Aug;2011;Financial District/South Beach;15.07.2017;201012217091;additions alterations or repairs;constr_type_3;club;122632761378;CA;94111;15468000;32000;238;1009;3;2160;37,797874324;-122,401012808;1;15500000
55 Laguna St,San Francisco,CA,94102;True;San Francisco;7.06.2017;Jun;2017;change of occupancy and change of use of an existing historic building from a school into affordable senior housing.the grd fl incl retail space and t.i. space for a non-profit organization. the bldg is landmark #256, work was approved on 5/16/12.;office;27.06.2013;19.08.2014;Aug;2014;Hayes Valley;18.07.2020;201306270646;additions alterations or repairs;constr_type_3;apartments;1343666498993;CA;94102;15000000;0;418;1023;3;2160;37,771162321;-122,425089804;1;15000000
2255 3rd St,San Francisco,CA,94107;True;San Francisco;28.08.2013;Aug;2013;preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.;office;9.07.2009;22.12.2010;Dec;2010;Potrero Hill;20.11.2016;200907092309;additions alterations or repairs;constr_type_1;apartments;1178472386360;CA;94107;12000000;33000000;531;980;3;2160;37,776872;-122,3904556;1;45000000
2225 3rd St,San Francisco,CA,94107;True;San Francisco;28.08.2013;Aug;2013;preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.;office;9.07.2009;22.12.2010;Dec;2010;Potrero Hill;20.11.2016;200907092309;additions alterations or repairs;constr_type_1;apartments;1178653387905;CA;94107;12000000;33000000;531;980;3;2160;37,776872;-122,3904556;1;45000000
2235 3rd St,San Francisco,CA,94107;True;San Francisco;28.08.2013;Aug;2013;preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.;office;9.07.2009;22.12.2010;Dec;2010;Potrero Hill;20.11.2016;200907092309;additions alterations or repairs;constr_type_1;apartments;1178654169244;CA;94107;12000000;33000000;531;980;3;2160;37,776872;-122,3904556;1;45000000
1275 Market St,San Francisco,CA,94103;True;San Francisco;7.09.2017;Sep;2017;(n) addition by wrns studio of a private cinema, office space, lobby, restrooms, projection room, mechanical room.;office;5.06.2015;31.08.2015;Aug;2015;South of Market;30.07.2021;201506058287;additions alterations or repairs;constr_type_1;theater;1384214458145;CA;94103;12000000;0;87;738;2;2160;37,7775595;-122,415649937;1;12000000
250 Valencia St,San Francisco,CA,94103;True;San Francisco;10.11.2009;Nov;2009;adaptive remodel of extg levi strauss manufacturing plant. change of use to elementry school. site permit;garment shops;27.10.2006;9.08.2007;Aug;2007;Mission;9.02.2012;200610276270;additions alterations or repairs;wood_frame_5;school;1072619157009;CA;94103;11500000;0;286;824;2;1645;37,768935154;-122,422379231;1;11500000
155 5th St,San Francisco,CA,94103;True;San Francisco;26.03.2014;Mar;2014;complete renovation of exteriior building cladding systems, interior improvements, and new fire life safety systems. structural upgrades will be required in addition to improvements to existing building, mechanical, electrical, and plumbing systems.  total project size is approximately 396,536 gsf.;office;10.06.2011;18.05.2012;May;2012;South of Market;17.04.2018;201106107882;additions alterations or repairs;constr_type_1;clinics-medic/dental;1240619449597;CA;94103;9569000;50431000;343;677;2;2160;37,78237275;-122,405212924;1;60000000
1731 Powell St,San Francisco,CA,94133;True;San Francisco;19.12.2018;Dec;2018;per sf planning motion 17797 permitting the conversion of existing theater to mix use building with residential condominiums at the four upper floors. commercial units on 1st floor and 1 subterranean floor as parking garage with 27 parking spaces.full bar & restaurant&commercial space.;theater;12.08.2009;24.02.2015;Feb;2015;Chinatown;23.01.2021;200908124639;additions alterations or repairs;constr_type_1;apartments;118152458893;CA;94133;7500000;3059748;2022;1394;3;2160;37,800455143;-122,410982735;1;10559748
1741 Powell St,San Francisco,CA,94133;True;San Francisco;19.12.2018;Dec;2018;per sf planning motion 17797 permitting the conversion of existing theater to mix use building with residential condominiums at the four upper floors. commercial units on 1st floor and 1 subterranean floor as parking garage with 27 parking spaces.full bar & restaurant&commercial space.;theater;12.08.2009;24.02.2015;Feb;2015;Chinatown;23.01.2021;200908124639;additions alterations or repairs;constr_type_1;apartments;1181525377107;CA;94133;7500000;3059748;2022;1394;3;2160;37,800490857;-122,410989980;1;10559748
350 Mission St,San Francisco,CA,94105;True;San Francisco;23.03.2017;Mar;2017;altered site permit for record purposes only to issued site permit 2011-08-01-1461/s  - additional 3 stories from 27 to 30.;vacant lot;25.03.2013;10.01.2014;Jan;2014;Financial District/South Beach;20.12.2017;201303252972;additions alterations or repairs;constr_type_1;office;1299761164586;CA;94105;7500000;0;291;1168;3;1440;37,79089875;-122,396690099;1;7500000
88 Townsend St,San Francisco,CA,94107;True;San Francisco;9.11.2006;Nov;2006;construction of 112 residential units on 4 floors over 2 levels of parking and retail;office;15.05.2003;1.10.2003;Oct;2003;Financial District/South Beach;1.04.2008;200305154682;additions alterations or repairs;wood_frame_5;apartments;958168365109;CA;94107;7500000;7890000;139;1135;3;1644;37,780996444;-122,390182778;1;15390000
88 Townsend St,San Francisco,CA,94107;True;San Francisco;9.11.2006;Nov;2006;construction of 112 residential units on 4 floors over 2 levels of parking and retail;office;15.05.2003;1.10.2003;Oct;2003;Financial District/South Beach;1.04.2008;200305154682;additions alterations or repairs;wood_frame_5;apartments;958169167841;CA;94107;7500000;7890000;139;1135;3;1644;37,780996444;-122,390182778;1;15390000
201 Sansome St,San Francisco,CA,94104;True;San Francisco;13.07.2007;Jul;2007;convert (e) office building into residential bulding per sec. 309, downtown permit review=20040551x*;office;29.07.2004;23.05.2005;May;2005;Financial District/South Beach;23.11.2009;200407290138;additions alterations or repairs;constr_type_1;apartments;98746966060;CA;94104;7500000;0;298;781;2;1645;37,792217;-122,40106;1;7500000
310 Townsend St,San Francisco,CA,94107;True;San Francisco;23.03.2007;Mar;2007;renovation of existing 5 story on reinforced masonry bldg to comprise 45 residen'l units above off street enclosed parking.;office;2.05.2005;20.07.2006;Jul;2006;South of Market;20.07.2009;200505021337;additions alterations or repairs;constr_type_1;apartments;1014276435921;CA;94107;7000000;6310000;444;246;1;1096;37,776898469;-122,395369490;1;13310000
178 Townsend St,San Francisco,CA,94107;True;San Francisco;28.12.2012;Dec;2012;*site permit * - 4-story vertical addition. chagne of use to residential.;office;29.08.2006;12.08.2010;Aug;2010;Financial District/South Beach;11.07.2016;200608290851;additions alterations or repairs;constr_type_3;apartments;1065388368281;CA;94107;7000000;9000000;1444;869;2;2160;37,779120591;-122,392262455;1;16000000
875 Stevenson St,San Francisco,CA,94103;True;San Francisco;3.06.2014;Jun;2014;mechanical, electrical, and plumbing for core and shell. improvements to coincide with architectural/structural improvement submitted under 2012-0905-8914;office;7.12.2012;17.05.2013;May;2013;South of Market;26.04.2017;201212075673;additions alterations or repairs;constr_type_1;retail sales;1290403156294;CA;94103;7000000;0;161;382;1;1440;37,7785413;-122,4137828;1;7000000
1563 Mission St,San Francisco,CA,94103;True;San Francisco;9.06.2017;Jun;2017;new clinic build out includes new 2/f, inclu new floor slab and struct framing. full build out of 5 floors w/new partitions, plumbing, mech, elec.signage, level 5 will house out patient clinic (oshpd 3 requirements) an awning and signage wil be mounted on mission st facade, deck, planters and roof;warehouse,no frnitur;16.04.2015;11.05.2016;May;2016;Mission;20.04.2020;201504163820;additions alterations or repairs;constr_type_2;clinics-medic/dental;1378316156390;CA;94103;6900000;0;391;394;1;1440;37,7767058;-122,4141205;1;6900000
150 Otis St,San Francisco,CA,94103;True;San Francisco;20.02.2013;Feb;2013;conversion of former juvenie detention center to 76 apts low income seismic upgrade, mep,finishes upgrade. new fire & sprinkler system, new pg&e vod vault, new elevator tower and new decks at back of the bldg, existing high rise.;jail;14.05.2010;7.01.2011;Jan;2011;Mission;6.12.2016;201005142521;additions alterations or repairs;constr_type_1;apartments;1227608474416;CA;94103;6500000;0;238;775;2;2160;37,7708532;-122,420457736;1;6500000
1238 Sutter St,San Francisco,CA,94109;True;San Francisco;20.07.2018;Jul;2018;construct 9-story mixed-use w/ 2 commercial ground floor lease spaces and 8-story of residential w/ 37 units above.;retail sales;16.07.2015;9.05.2016;May;2016;Nob Hill;8.04.2022;201507161644;additions alterations or repairs;constr_type_1;apartments;138862678404;CA;94109;6500000;4966000;298;802;2;2160;37,787768967;-122,420677717;1;11466000
601 Dolores St,San Francisco,CA,94110;True;San Francisco;3.04.2015;Apr;2015;change of use from single family home to school. expand existing mezzanine to be a full floor. minor exterior change.;1 family dwelling;28.08.2012;16.05.2013;May;2013;Mission;15.04.2019;201208288410;additions alterations or repairs;constr_type_3;school;1280871161007;CA;94110;6250000;0;261;687;2;2160;37,759719;-122,425719;1;6250000
935 Folsom St,San Francisco,CA,94107;True;San Francisco;5.03.2014;Mar;2014;new 2 story fire house to include 3 apparatus bay and equipment storage, living and dining rooms, fitness room, locker room and sleeping rooms.;garment shops;8.07.2011;6.04.2012;Apr;2012;South of Market;6.03.2018;201107089760;new construction;constr_type_2;sfpd or sffd station;1243174166255;CA;94107;6000000;0;273;698;2;2160;37,77941665;-122,404100451;1;6000000
445 Francisco St,San Francisco,CA,94133;True;San Francisco;19.07.2002;Jul;2002;to expand (e) 5 story type i bldg with vert & horiz addition;retail sales;14.11.1998;3.04.1999;Apr;1999;North Beach;3.10.2003;;additions alterations or repairs;constr_type_2;apartments;799679382228;CA;94133;6000000;-3000000;140;1203;3;1644;37,804717327;-122,412511816;1;3000000
801 Brannan St,San Francisco,CA,94103;True;San Francisco;3.12.2018;Dec;2018;revision to pa# 2013/09/04/5886 s-2. added one transformer room for ac revision. added ac unit support on roof. revise garage b entrance.** maher: n/a **;vacant lot;17.12.2015;27.07.2016;Jul;2016;South of Market;6.07.2020;201512175338;additions alterations or repairs;constr_type_1;apartments;1406850167598;CA;94103;5700000;0;223;859;2;1440;37,772304;-122,404003;1;5700000
333 Grant Av,San Francisco,CA,94108;True;San Francisco;2.02.2005;Feb;2005;exterior: installation of approved (c of a) storefront addition of balconies and glass railings roof;office;1.10.2002;23.06.2003;Jun;2003;Financial District/South Beach;23.12.2007;200210017875;additions alterations or repairs;constr_type_1;apartments;100171966990;CA;94108;5500000;1253437;265;590;2;1644;37,7901838;-122,4057799;1;6753437
350 Rhode Island St,San Francisco,CA,94103;True;San Francisco;7.02.2005;Feb;2005;install new t.i. for california culinary academ & install teaching kitchens,class room etc.new exter;office;9.04.2004;29.07.2004;Jul;2004;Mission Bay;29.01.2007;200404090900;additions alterations or repairs;constr_type_1;school;975925370196;CA;94103;5000000;0;111;193;1;914;37,765411306;-122,402726490;1;5000000
1400 16th St,San Francisco,CA,94103;True;San Francisco;11.08.2017;Aug;2017;new non structural partitions new mechanical, plumbing and electrical. new finishes and fixtures. change of use from garment factory to laboratory.** maher: n/a **;garment shops;15.07.2016;27.12.2016;Dec;2016;Mission Bay;6.12.2020;201607152520;additions alterations or repairs;constr_type_3;clinics-medic/dental;1430267168094;CA;94103;4800000;0;165;227;1;1440;37,766263;-122,400918;1;4800000
34 Turk St,San Francisco,CA,94102;True;San Francisco;26.10.2004;Oct;2004;work includes structural alt/aptmnt renovatn/accessibility upgrade gr fl egress sidewlk vault;apartments;24.01.2001;7.11.2001;Nov;2001;Tenderloin;7.08.2005;200101240467;additions alterations or repairs;constr_type_3;office;86682269972;CA;94102;4500000;0;287;1084;3;1369;37,7822397;-122,4184903;1;4500000
1017 Market St,San Francisco,CA,94103;True;San Francisco;18.06.2014;Jun;2014;interior commercial tenant improvement & fit-out of (e) bldg totalling approx 75,000 sq ft. improvements comprise open office w/ distributed offices & mtg rms, pantrys, break area, (n) 1-story staircase element & storage rooms. (interim controls see attached).;office;19.12.2013;31.03.2014;Mar;2014;South of Market;10.03.2018;201312194666;additions alterations or repairs;constr_type_3;public assmbly other;1327700380475;CA;94103;4200000;997500;102;79;0;1440;37,7813537;-122,4113456;1;5197500
1019 Market St,San Francisco,CA,94103;True;San Francisco;18.06.2014;Jun;2014;interior commercial tenant improvement & fit-out of (e) bldg totalling approx 75,000 sq ft. improvements comprise open office w/ distributed offices & mtg rms, pantrys, break area, (n) 1-story staircase element & storage rooms. (interim controls see attached).;office;19.12.2013;31.03.2014;Mar;2014;South of Market;10.03.2018;201312194666;additions alterations or repairs;constr_type_3;public assmbly other;1327701164359;CA;94103;4200000;997500;102;79;0;1440;37,7813537;-122,4113456;1;5197500
733 Front St,San Francisco,CA,94111;True;San Francisco;3.12.2007;Dec;2007;conversion of existin goffice building into a residential bldg. consisting of 69 dwelling units. exterior work includes replacement of windows in existing openings to provide natural ventilation and improve day-lighting. change of occupancy.;retail sales;28.12.2004;6.02.2006;Feb;2006;Financial District/South Beach;6.11.2009;200412282224;additions alterations or repairs;constr_type_1;apartments;100257161380;CA;94111;4000000;0;405;665;1;1369;37,798034;-122,400110979;1;4000000
277 Golden Gate Av,San Francisco,CA,94102;True;San Francisco;18.08.2014;Aug;2014;revision to appl#9825929-s & 200610195538, change unit count from 92 to 88. revise previously approved site permit 9825929-s, renewed under app#200610195538, for interior renovation to existing bldg. with new 88 apartments & 1 commercial unit. no change to exterior bldg. ht. and bulk.;office;18.10.2007;22.12.2008;Dec;2008;Tenderloin;1.12.2012;200710185824;additions alterations or repairs;constr_type_2;apartments;1113057301305;CA;94102;4000000;0;431;2065;6;1440;37,78150555;-122,415017418;1;4000000
66 Page St,San Francisco,CA,94102;True;San Francisco;25.02.2010;Feb;2010;change of use from auto repair garage to school. renovation of (e) building for instructional use (school). no additional area to be added, interior demo work-new interior walls, mechanical, electrical system, perform code required seismic upgrade.;auto repairs;16.09.2008;13.01.2009;Jan;2009;Hayes Valley;23.12.2012;200809161710;additions alterations or repairs;constr_type_3;school;114981282651;CA;94102;4000000;1000000;119;408;1;1440;37,77441445;-122,421893124;1;5000000
690 Folsom St,San Francisco,CA,94105;True;San Francisco;12.01.2015;Jan;2015;change of use.renov incl seismic strengtheing.install new core elements,remov grd fl walls&replace columns.install new exterior cladding over approx 40%of(e)exterior walls.new mech,elec,plumb&fire protection system & t.i. under separate permit.;prkng garage/private;29.07.2013;14.01.2014;Jan;2014;Financial District/South Beach;14.12.2019;201307292946;additions alterations or repairs;constr_type_3;food/beverage hndlng;1312440165579;CA;94105;4000000;0;169;363;1;2160;37,7841938;-122,3992122;1;4000000
2 Harrison St,San Francisco,CA,94105;True;San Francisco;19.07.2012;Jul;2012;interior tenant improvement, including drywall, ceilings doors, millwork, glazing, finishes. change of use to include adult educational facility.  mep, demolition & structural, under separate permit.;office;1.04.2011;2.08.2011;Aug;2011;Financial District/South Beach;12.07.2015;201104013334;additions alterations or repairs;constr_type_1;school;1234488165704;CA;94105;3900000;0;123;352;1;1440;37,7896119;-122,3890718;1;3900000
875 Howard St,San Francisco,CA,94103;True;San Francisco;12.04.2011;Apr;2011;1st & 2nd flrs a second generation tenant improvement within existing building including the addition of walls and doors.;office;25.06.2010;10.09.2010;Sep;2010;South of Market;20.08.2014;201006255345;additions alterations or repairs;constr_type_2;school;1210273384462;CA;94103;3600000;0;77;214;1;1440;37,7818402;-122,4038851;1;3600000
270 Brannan St,San Francisco,CA,94107;True;San Francisco;31.08.2017;Aug;2017;3rd floor building under construction - 1st time full floor tenant improvement with new non-bearing partitions, break room, conference rooms. fire alarm & sprinklers on separate permit. new construction #2013.1217.4402. no final until core & shell is complete. n/a maher ordinance.;vacant lot;11.05.2015;2.09.2015;Sep;2015;Financial District/South Beach;12.08.2019;201505115944;otc alterations permit;constr_type_1;office;1381154167192;CA;94107;3562089;0;114;729;2;1440;37,7824983;-122,3915513;1;3562089
1250 Haight St,San Francisco,CA,94117;True;San Francisco;31.10.2007;Oct;2007;adaptive re-use of e church into senior apts, preserve building shell, create 4 stories within seism;church;22.11.2004;30.09.2005;Sep;2005;Haight Ashbury;31.03.2008;200411229881;additions alterations or repairs;constr_type_2;apartments;1030892437179;CA;94117;3500000;0;312;761;2;913;37,7708397;-122,442834378;1;3500000
101 Post St,San Francisco,CA,94108;True;San Francisco;6.02.2012;Feb;2012;change of use in basement ground and mezzanine. interior tenant improvement. new basement kitchen, new small coffee bar at g/f. new steel stairs at each floor. new storefront enclosure at interior atrium at 2nd & 3rd floor. change in use at basement ground and mezzanine (m to b).;retail sales;24.05.2011;30.09.2011;Sep;2011;Financial District/South Beach;9.09.2015;201105246683;additions alterations or repairs;constr_type_2;office;123904069296;CA;94108;3500000;0;129;129;1;1440;37,7887697;-122,4038325;1;3500000
229 Haight St,San Francisco,CA,94102;True;San Francisco;21.06.2016;Jun;2016;change of occupancy. from b to r-2 and a-3. exterior demo window & door openings. interior structural demo & voluntary seismic upgrades of roof and wall stiffening at new elevators.;office;30.08.2013;8.05.2014;May;2014;Hayes Valley;17.04.2018;201308305692;additions alterations or repairs;wood_frame_5;apartments;1316083490816;CA;94102;3500000;500000;251;775;2;1440;37,7731877;-122,4220371;1;4000000
1314 Polk St,San Francisco,CA,94109;True;San Francisco;2.10.2007;Oct;2007;renovation of (e) 1 story over basement bldg basement to be used for garage g/f retail & 15 resident;retail sales;6.10.2000;8.02.2001;Feb;2001;Nob Hill;8.11.2004;200010062476;additions alterations or repairs;constr_type_3;apartments;868177388528;CA;94109;3500000;0;125;2427;6;1369;37,788945;-122,4202515;1;3500000
215 Fremont St,San Francisco,CA,94105;True;San Francisco;17.06.2004;Jun;2004;"minor demo of drywall partitions, new conf rm;dev. of 9th flr terraces;chg use fr b to a-3;";office;29.06.2001;1.02.2002;Feb;2002;Financial District/South Beach;1.08.2004;200106292660;additions alterations or repairs;constr_type_1;food/beverage hndlng;881472165668;CA;94105;3500000;0;217;867;2;912;37,789135857;-122,394881143;1;3500000
83 Mcallister St,San Francisco,CA,94102;True;San Francisco;1.02.2007;Feb;2007;convert (e) 5 story, 1 basement umb commercial/retail to 5 story, 1 basement;office;27.04.2004;28.07.2005;Jul;2005;Tenderloin;28.04.2009;200404272369;additions alterations or repairs;constr_type_3;apartments;97771370100;CA;94102;3500000;0;457;553;2;1370;37,780872724;-122,413445034;1;3500000
3251 20th Av,San Francisco,CA,94132;True;San Francisco;15.11.2013;Nov;2013;proposed 3 level fitness ctr occupying an (e) 54,000 sf (3) level bldg. fitness ctr will consist of arears for weight training cardio & circuit trainging, basketball, racquetball, lap pool & spa. area for new membership sales & child care also provided. fire sprklr, alarm & signage under sep permit;retail sales;16.05.2012;21.09.2012;Sep;2012;Lakeshore;21.08.2018;201205160614;additions alterations or repairs;constr_type_2;health studios & gym;1270720226171;CA;94132;3300000;0;128;420;1;2160;37,7288821;-122,4758749;1;3300000
459 Geary St,San Francisco,CA,94102;True;San Francisco;22.06.2015;Jun;2015;project consists of seismic upgrades to building's structural system, renovations to building's core & shell & interior improvement throughout (interior improvements to be documented & permitted under separate scope of work). note:  occupant load verification required under separate permit.;retail sales;8.06.2012;2.05.2013;May;2013;Tenderloin;11.04.2017;201206082224;additions alterations or repairs;constr_type_3;workshop commercial;127286569388;CA;94102;3289287;0;328;781;2;1440;37,78681905;-122,410860520;1;3289287
165 Ofarrell St,San Francisco,CA,94102;True;San Francisco;29.04.2019;Apr;2019;t.i. of (e) basement, 1/f-6/f into 4 food facilities: (1) bakery, (2) bistro restaurant, (3) bar & (4) fine dining restaurant. scope of work includes (n) accessibile restrooms, (n) stair, (n) partitions, (n) kitchen and (n) dining areas throughout. n/a ordinance #155-13;retail sales;20.11.2015;16.10.2017;Oct;2017;Financial District/South Beach;25.09.2021;201511203222;additions alterations or repairs;constr_type_1;food/beverage hndlng;140412069772;CA;94102;3055000;0;696;560;2;1440;37,78620335;-122,407327954;1;3055000
2351 Powell St,San Francisco,CA,94133;True;San Francisco;1.09.2006;Sep;2006;propose to remodel level 3 to 5 from office space to rental units, o changes on 2nd fl. minor **;office;30.11.2004;15.09.2005;Sep;2005;North Beach;15.03.2008;200411300290;additions alterations or repairs;constr_type_1;apartments;1000215347241;CA;94133;3000000;1250000;289;351;1;912;37,806285531;-122,412149449;1;4250000
888 Minnesota St,San Francisco,CA,94107;True;San Francisco;13.03.2009;Mar;2009;change of use from office to 16 dwelling units. structural upgrade and new m.e.p. fire alarm and sprinklers udner seperate permit.;office;16.02.2007;18.12.2007;Dec;2007;Potrero Hill;18.06.2010;200702164390;additions alterations or repairs;wood_frame_5;apartments;1083828454429;CA;94107;3000000;1469992;305;451;2;913;37,759206889;-122,390443889;1;4469992
900 Minnesota St,San Francisco,CA,94107;True;San Francisco;13.03.2009;Mar;2009;change of use from office to 16 dwelling units. structural upgrade and new m.e.p. fire alarm and sprinklers udner seperate permit.;office;16.02.2007;18.12.2007;Dec;2007;Potrero Hill;18.06.2010;200702164390;additions alterations or repairs;wood_frame_5;apartments;1083829454430;CA;94107;3000000;1469992;305;451;2;913;37,759069010;-122,390430919;1;4469992
851 Indiana St,San Francisco,CA,94107;True;San Francisco;2.03.2009;Mar;2009;change of use from office to 29 dwelling units, including structural upgrade. m.e.p. fire alarm and sprinklers under seperate permit.;office;16.02.2007;3.09.2008;Sep;2008;Potrero Hill;13.08.2012;200702164399;additions alterations or repairs;constr_type_3;apartments;1083830454428;CA;94107;3000000;1382000;565;180;1;1440;37,759604962;-122,391242893;1;4382000
